Sum of actual_lead_time_days,Sum of delay_days,Sum of base_lead_time_days,delivery_status,delay_days (bins),destination_city,disruption_event,Sum of geopolitical_risk_index,Sum of inflation_rate_pct,Sum of is_delayed,Sum of lead_time_variance_days,mitigation_action_taken,Sum of on_time_flag,order_date,Sum of order_weight_kg,order_id,origin_city,product_category,risk_band,Sum of risk_bucket,Sum of risk_score,route_type,Sum of scheduled_lead_time_days,Sum of shipping_cost_usd,transportation_mode,Sum of weather_severity_index
13,0,12,On Time,0,"New York, US",None,0.86,2.83,0,0,Standard Shipping,1,2025-01-24 00:00:00,4155,ORD-FB21B3C5,"Hamburg, DE",Raw Materials,Medium,2,2.423,Atlantic,13,3864.15,Sea,4.2
11,0,12,On Time,0,"New York, US",None,0.55,3.53,0,-2,Standard Shipping,1,2025-01-27 00:00:00,6725,ORD-59E32C1D,"Hamburg, DE",Raw Materials,Medium,2,2.529,Atlantic,13,5211.88,Sea,4.5
12,0,12,On Time,0,"New York, US",None,0.24,1.37,0,-3,Standard Shipping,1,2025-01-30 00:00:00,2045,ORD-3F958868,"Hamburg, DE",Perishable Foods,Medium,2,2.377,Atlantic,15,1267.9,Sea,5.7
3,0,2,On Time,0,"New York, US",None,0.72,5.3,0,0,Standard Shipping,1,2025-01-31 00:00:00,4534,ORD-99823809,"Hamburg, DE",Pharmaceuticals,High,3,3.904,Atlantic,3,42891.64,Air,7.2
12,0,12,On Time,0,"New York, US",None,0.18,2.34,0,-2,Standard Shipping,1,2025-02-01 00:00:00,3678,ORD-E2BE7D43,"Hamburg, DE",Raw Materials,Medium,2,2.929,Atlantic,14,2170.02,Sea,6.8
3,0,2,On Time,0,"New York, US",None,0.2,3.95,0,0,Standard Shipping,1,2025-02-02 00:00:00,7206,ORD-BDB0D320,"Hamburg, DE",Semiconductors,Medium,2,3.225,Atlantic,3,47559.6,Air,6.7
12,0,12,On Time,0,"New York, US",None,0.24,3.01,0,-1,Standard Shipping,1,2025-02-04 00:00:00,2389,ORD-AE50D9D1,"Hamburg, DE",Consumer Electronics,Low,1,1.41,Atlantic,13,1481.18,Sea,2
12,0,12,On Time,0,"New York, US",None,0.21,3.91,0,-1,Standard Shipping,1,2025-02-08 00:00:00,1494,ORD-C58222D9,"Hamburg, DE",Auto Parts,Medium,2,3.187,Atlantic,13,903.87,Sea,6.6
12,0,12,On Time,0,"New York, US",None,0.49,3.88,0,-1,Standard Shipping,1,2025-02-11 00:00:00,7878,ORD-4547C500,"Hamburg, DE",Textiles,Medium,2,2.327,Atlantic,13,5869.11,Sea,3.8
11,0,12,On Time,0,"New York, US",None,0.18,3.34,0,-2,Standard Shipping,1,2025-02-12 00:00:00,3963,ORD-57822E3D,"Hamburg, DE",Auto Parts,Medium,2,2.324,Atlantic,13,2338.17,Sea,4.5
3,0,2,On Time,0,"New York, US",None,0.52,5.23,0,0,Standard Shipping,1,2025-02-16 00:00:00,3888,ORD-8DAAEBA0,"Hamburg, DE",Pharmaceuticals,Medium,2,2.715,Atlantic,3,32503.68,Air,4.1
12,0,12,On Time,0,"New York, US",None,0.7,1.9,0,-3,Standard Shipping,1,2025-02-20 00:00:00,3382,ORD-19F82CCE,"Hamburg, DE",Textiles,High,3,4.02,Atlantic,15,2874.7,Sea,9.5
12,0,12,On Time,0,"New York, US",None,0.19,4.95,0,-2,Standard Shipping,1,2025-02-21 00:00:00,5804,ORD-F3562046,"Hamburg, DE",Auto Parts,Medium,2,3.141,Atlantic,14,3453.38,Sea,5.9
12,0,12,On Time,0,"New York, US",None,0.24,2.21,0,-2,Standard Shipping,1,2025-02-22 00:00:00,5634,ORD-71B46D5C,"Hamburg, DE",Raw Materials,Medium,2,3.175,Atlantic,14,3493.08,Sea,7.5
12,0,12,On Time,0,"New York, US",None,0.68,2.89,0,-3,Standard Shipping,1,2025-02-25 00:00:00,1145,ORD-50BCF615,"Hamburg, DE",Textiles,High,3,3.299,Atlantic,15,961.8,Sea,6.9
12,0,12,On Time,0,"New York, US",None,0.25,2.07,0,-1,Standard Shipping,1,2025-02-26 00:00:00,9899,ORD-CC9BB9AA,"Hamburg, DE",Textiles,Medium,2,3.152,Atlantic,13,6186.88,Sea,7.5
12,0,12,On Time,0,"New York, US",None,0.28,3.64,0,-3,Standard Shipping,1,2025-03-02 00:00:00,1763,ORD-D4853D49,"Hamburg, DE",Auto Parts,Low,1,1.309,Atlantic,15,1128.32,Sea,1.3
12,0,12,On Time,0,"New York, US",None,0.29,2.91,0,-1,Standard Shipping,1,2025-03-04 00:00:00,8925,ORD-36361CDA,"Hamburg, DE",Textiles,Medium,2,2.393,Atlantic,13,5756.62,Sea,4.8
2,0,2,On Time,0,"New York, US",None,0.7,3.96,0,-2,Standard Shipping,1,2025-03-04 00:00:00,3288,ORD-9141F2E9,"Hamburg, DE",Semiconductors,Medium,2,2.542,Atlantic,4,30742.8,Air,4.1
12,0,12,On Time,0,"New York, US",None,0.49,3.48,0,-3,Standard Shipping,1,2025-03-05 00:00:00,3625,ORD-A40B8888,"Hamburg, DE",Pharmaceuticals,Medium,2,2.107,Atlantic,15,2700.62,Sea,3.4
12,0,12,On Time,0,"New York, US",None,0.74,0.51,0,-1,Standard Shipping,1,2025-03-07 00:00:00,8808,ORD-B6BCBF22,"Hamburg, DE",Pharmaceuticals,Low,1,0.925,Atlantic,13,7662.96,Sea,1.4
13,0,12,On Time,0,"New York, US",None,0.51,3.98,0,-1,Standard Shipping,1,2025-03-09 00:00:00,4583,ORD-0433062E,"Hamburg, DE",Perishable Foods,High,3,3.581,Atlantic,14,3460.16,Sea,7.3
12,0,12,On Time,0,"New York, US",None,0.24,3.77,0,-3,Standard Shipping,1,2025-03-09 00:00:00,7105,ORD-5C5EDD20,"Hamburg, DE",Consumer Electronics,Low,1,1.352,Atlantic,15,4405.1,Sea,1.4
12,0,12,On Time,0,"New York, US",None,0.87,1.42,0,-3,Standard Shipping,1,2025-03-10 00:00:00,1898,ORD-C6E6C2D8,"Hamburg, DE",Consumer Electronics,Medium,2,2.566,Atlantic,15,1774.63,Sea,5.4
12,0,12,On Time,0,"New York, US",None,0.11,5.88,0,-2,Standard Shipping,1,2025-03-11 00:00:00,4507,ORD-88909D01,"Hamburg, DE",Perishable Foods,Low,1,1.751,Atlantic,14,2501.39,Sea,1.5
12,0,12,On Time,0,"New York, US",None,0.34,5.07,0,-2,Standard Shipping,1,2025-03-13 00:00:00,8434,ORD-41DC62AF,"Hamburg, DE",Raw Materials,High,3,3.722,Atlantic,14,5650.78,Sea,7.3
12,0,12,On Time,0,"New York, US",None,0.27,1.7,0,-1,Standard Shipping,1,2025-03-16 00:00:00,2708,ORD-67643503,"Hamburg, DE",Perishable Foods,High,3,3.542,Atlantic,13,1719.58,Sea,8.8
2,0,2,On Time,0,"New York, US",None,0.33,3.41,0,-1,Standard Shipping,1,2025-03-17 00:00:00,4502,ORD-E565112F,"Hamburg, DE",Semiconductors,Medium,2,2.126,Atlantic,3,32932.13,Air,3.7
12,0,12,On Time,0,"New York, US",None,0.59,5.02,0,-1,Standard Shipping,1,2025-03-18 00:00:00,4637,ORD-BA7CBECE,"Hamburg, DE",Auto Parts,Medium,2,2.635,Atlantic,13,3686.41,Sea,3.9
12,0,12,On Time,0,"New York, US",None,0.36,3.17,0,-3,Standard Shipping,1,2025-03-25 00:00:00,6254,ORD-E0AC9A88,"Hamburg, DE",Textiles,Low,1,1.461,Atlantic,15,4252.72,Sea,1.9
3,0,2,On Time,0,"New York, US",None,0.24,3.54,0,0,Standard Shipping,1,2025-03-26 00:00:00,6441,ORD-0141DBE6,"Hamburg, DE",Pharmaceuticals,Medium,2,2.566,Atlantic,3,43927.62,Air,5
12,0,12,On Time,0,"New York, US",None,0.45,3.26,0,-3,Standard Shipping,1,2025-03-27 00:00:00,2190,ORD-8DBB6ACD,"Hamburg, DE",Auto Parts,Low,1,2.01,Atlantic,15,1587.75,Sea,3.3
12,0,12,On Time,0,"New York, US",None,0.4,1.94,0,-2,Standard Shipping,1,2025-03-30 00:00:00,8099,ORD-FA5D2526,"Hamburg, DE",Auto Parts,Medium,2,2.913,Atlantic,14,5669.3,Sea,6.7
12,0,12,On Time,0,"New York, US",None,0.61,5.49,0,-2,Standard Shipping,1,2025-04-02 00:00:00,701,ORD-02198048,"Hamburg, DE",Textiles,Low,1,1.828,Atlantic,14,564.3,Sea,1.3
13,0,12,On Time,0,"New York, US",None,0.75,4.97,0,0,Standard Shipping,1,2025-04-02 00:00:00,5343,ORD-5AE464C3,"Hamburg, DE",Auto Parts,Low,1,1.822,Atlantic,13,4675.12,Sea,1.4
12,0,12,On Time,0,"New York, US",None,0.66,3.42,0,-3,Standard Shipping,1,2025-04-04 00:00:00,7176,ORD-0722D17D,"Hamburg, DE",Textiles,High,3,4.131,Atlantic,15,5956.08,Sea,9
13,0,12,On Time,0,"New York, US",None,0.88,3.47,0,0,Standard Shipping,1,2025-04-05 00:00:00,3912,ORD-0C599059,"Hamburg, DE",Textiles,Medium,2,3.225,Atlantic,13,3677.28,Sea,6.1
13,0,12,On Time,0,"New York, US",None,0.2,2.4,0,-1,Standard Shipping,1,2025-04-09 00:00:00,9543,ORD-5E178568,"Hamburg, DE",Perishable Foods,High,3,3.86,Atlantic,14,5725.8,Sea,9.4
13,0,12,On Time,0,"New York, US",None,0.53,4.77,0,-2,Standard Shipping,1,2025-04-10 00:00:00,9743,ORD-1C0246E4,"Hamburg, DE",Auto Parts,High,3,3.853,Atlantic,15,7453.4,Sea,7.6
12,0,12,On Time,0,"New York, US",None,0.52,4.55,0,-1,Standard Shipping,1,2025-04-12 00:00:00,4481,ORD-B2F4EA9C,"Hamburg, DE",Perishable Foods,Medium,2,2.964,Atlantic,13,3405.56,Sea,5.2
12,0,12,On Time,0,"New York, US",None,0.27,3.24,0,-1,Standard Shipping,1,2025-04-15 00:00:00,1498,ORD-18B7983E,"Hamburg, DE",Pharmaceuticals,Medium,2,2.415,Atlantic,13,951.23,Sea,4.7
1,0,2,On Time,0,"New York, US",None,0.14,4.08,0,-3,Standard Shipping,1,2025-04-15 00:00:00,9699,ORD-315DB030,"Hamburg, DE",Pharmaceuticals,Low,1,1.509,Atlantic,4,60812.73,Air,1.8
11,0,12,On Time,0,"New York, US",None,0.54,4.82,0,-4,Standard Shipping,1,2025-04-15 00:00:00,6542,ORD-335DDFB9,"Hamburg, DE",Auto Parts,Medium,2,2.712,Atlantic,15,5037.34,Sea,4.3
12,0,12,On Time,0,"New York, US",None,0.18,1.4,0,-1,Standard Shipping,1,2025-04-17 00:00:00,6678,ORD-92FC8B00,"Hamburg, DE",Raw Materials,Low,1,0.396,Atlantic,13,3940.02,Sea,0.1
12,0,12,On Time,0,"New York, US",None,0.2,4.32,0,-2,Standard Shipping,1,2025-04-18 00:00:00,4085,ORD-EF215735,"Hamburg, DE",Raw Materials,Medium,2,2.634,Atlantic,14,2451,Sea,4.8
2,0,2,On Time,0,"New York, US",None,0.32,4.08,0,-1,Standard Shipping,1,2025-04-19 00:00:00,5836,ORD-CAC7ADAF,"Hamburg, DE",Pharmaceuticals,High,3,3.83,Atlantic,3,42369.36,Air,8.2
1,0,2,On Time,0,"New York, US",None,0.11,2.55,0,-3,Standard Shipping,1,2025-05-07 00:00:00,8496,ORD-C19366E7,"Hamburg, DE",Semiconductors,Medium,2,2.73,Atlantic,4,51868.08,Air,6.2
13,0,12,On Time,0,"New York, US",None,0.32,2.42,0,0,Standard Shipping,1,2025-05-09 00:00:00,457,ORD-D167C67B,"Hamburg, DE",Perishable Foods,High,3,3.883,Atlantic,13,301.62,Sea,9.3
13,0,12,On Time,0,"New York, US",None,0.16,1.69,0,-1,Standard Shipping,1,2025-05-11 00:00:00,7043,ORD-DED09FC8,"Hamburg, DE",Perishable Foods,Medium,2,2.79,Atlantic,14,4084.94,Sea,6.8
12,0,12,On Time,0,"New York, US",None,0.26,4.23,0,-2,Standard Shipping,1,2025-05-12 00:00:00,3896,ORD-F3A710AB,"Hamburg, DE",Perishable Foods,High,3,3.413,Atlantic,14,2454.48,Sea,7
12,0,12,On Time,0,"New York, US",None,0.88,3.53,0,-3,Standard Shipping,1,2025-05-15 00:00:00,8012,ORD-CE1815A9,"Hamburg, DE",Semiconductors,Medium,2,2.152,Atlantic,15,7531.28,Sea,3
12,0,12,On Time,0,"New York, US",None,0.55,3.12,0,-1,Standard Shipping,1,2025-05-20 00:00:00,1569,ORD-347A88A6,"Hamburg, DE",Raw Materials,Low,1,1.887,Atlantic,13,1215.98,Sea,2.9
14,0,12,On Time,0,"New York, US",None,0.14,2.93,0,0,Standard Shipping,1,2025-05-20 00:00:00,6769,ORD-C74F40F6,"Hamburg, DE",Pharmaceuticals,Medium,2,3.204,Atlantic,14,3858.33,Sea,7.3
12,0,12,On Time,0,"New York, US",None,0.76,3.89,0,-1,Standard Shipping,1,2025-05-21 00:00:00,4585,ORD-0102503E,"Hamburg, DE",Auto Parts,Medium,2,2.275,Atlantic,13,4034.8,Sea,3.3
2,0,2,On Time,0,"New York, US",None,0.81,2.9,0,-3,Standard Shipping,1,2025-05-21 00:00:00,3697,ORD-84E501EB,"Hamburg, DE",Semiconductors,Low,1,1.75,Atlantic,5,36803.64,Air,2.3
12,0,12,On Time,0,"New York, US",None,0.5,5.01,0,-1,Standard Shipping,1,2025-05-23 00:00:00,6453,ORD-523FF9E3,"Hamburg, DE",Raw Materials,Medium,2,3.012,Atlantic,13,4839.75,Sea,5.1
12,0,12,On Time,0,"New York, US",None,0.31,5.03,0,-1,Standard Shipping,1,2025-05-24 00:00:00,2679,ORD-440D7083,"Hamburg, DE",Raw Materials,Low,1,1.846,Atlantic,13,1754.75,Sea,2
12,0,12,On Time,0,"New York, US",None,0.34,4.27,0,-1,Standard Shipping,1,2025-05-27 00:00:00,2107,ORD-5CCF0431,"Hamburg, DE",Perishable Foods,Medium,2,2.267,Atlantic,13,1411.69,Sea,3.6
12,0,12,On Time,0,"New York, US",None,0.46,2.06,0,-1,Standard Shipping,1,2025-05-28 00:00:00,4466,ORD-50EF2313,"Hamburg, DE",Auto Parts,Medium,2,2.999,Atlantic,13,3260.18,Sea,6.8
12,0,12,On Time,0,"New York, US",None,0.76,5.17,0,-2,Standard Shipping,1,2025-06-02 00:00:00,5289,ORD-E20AA517,"Hamburg, DE",Raw Materials,High,3,3.546,Atlantic,14,4654.32,Sea,6.2
13,0,12,On Time,0,"New York, US",None,0.35,2.96,0,-2,Standard Shipping,1,2025-06-06 00:00:00,4338,ORD-AD88D08C,"Hamburg, DE",Perishable Foods,High,3,4.25,Atlantic,15,2928.15,Sea,10
12,0,12,On Time,0,"New York, US",None,0.51,5.01,0,-2,Standard Shipping,1,2025-06-07 00:00:00,9875,ORD-371653A8,"Hamburg, DE",Raw Materials,Medium,2,3.192,Atlantic,14,7455.62,Sea,5.6
12,0,12,On Time,0,"New York, US",None,0.54,3.03,0,-2,Standard Shipping,1,2025-06-07 00:00:00,2036,ORD-7B0F6F3A,"Hamburg, DE",Semiconductors,Low,1,1.794,Atlantic,14,1567.72,Sea,2.7
12,0,12,On Time,0,"New York, US",None,0.62,3.25,0,-2,Standard Shipping,1,2025-06-10 00:00:00,3949,ORD-F74783F9,"Hamburg, DE",Raw Materials,Medium,2,2.574,Atlantic,14,3198.69,Sea,4.7
12,0,12,On Time,0,"New York, US",None,0.45,6.02,0,-2,Standard Shipping,1,2025-06-11 00:00:00,2072,ORD-385EAF89,"Hamburg, DE",Auto Parts,High,3,4.032,Atlantic,14,1502.2,Sea,7.5
12,0,12,On Time,0,"New York, US",None,0.34,3.46,0,-3,Standard Shipping,1,2025-06-13 00:00:00,3011,ORD-0E01F8D6,"Hamburg, DE",Auto Parts,High,3,3.82,Atlantic,15,2017.37,Sea,8.5
13,0,12,On Time,0,"New York, US",None,0.65,5.15,0,-2,Standard Shipping,1,2025-06-14 00:00:00,8312,ORD-78CE4FB4,"Hamburg, DE",Raw Materials,High,3,4.543,Atlantic,15,6857.4,Sea,9.2
2,0,2,On Time,0,"New York, US",None,0.82,4.66,0,-2,Standard Shipping,1,2025-06-14 00:00:00,663,ORD-F4EAC5F0,"Hamburg, DE",Semiconductors,High,3,3.821,Atlantic,4,6636.63,Air,7.2
12,0,12,On Time,0,"New York, US",None,0.66,7.36,0,-1,Standard Shipping,1,2025-06-16 00:00:00,5996,ORD-3D594E8A,"Hamburg, DE",Auto Parts,High,3,4.639,Atlantic,13,4976.68,Sea,8.2
12,0,12,On Time,0,"New York, US",None,0.6,4.63,0,-2,Standard Shipping,1,2025-06-20 00:00:00,5990,ORD-8A83F87F,"Hamburg, DE",Raw Materials,Medium,2,2.806,Atlantic,14,4792,Sea,4.6
12,0,12,On Time,0,"New York, US",None,0.4,1.2,0,-2,Standard Shipping,1,2025-06-22 00:00:00,6596,ORD-9A564542,"Hamburg, DE",Perishable Foods,Low,1,1.715,Atlantic,14,4617.2,Sea,3.7
13,0,12,On Time,0,"New York, US",None,0.72,3.61,0,0,Standard Shipping,1,2025-06-24 00:00:00,4809,ORD-C37269D6,"Hamburg, DE",Consumer Electronics,Low,1,1.361,Atlantic,13,4135.74,Sea,0.9
12,0,12,On Time,0,"New York, US",None,0.67,2.76,0,-1,Standard Shipping,1,2025-06-25 00:00:00,4535,ORD-97ED1640,"Hamburg, DE",Perishable Foods,High,3,3.339,Atlantic,13,3786.72,Sea,7.1
2,0,2,On Time,0,"New York, US",None,0.43,3.14,0,-2,Standard Shipping,1,2025-06-29 00:00:00,1713,ORD-AE47BD6B,"Hamburg, DE",Semiconductors,Low,1,1.942,Atlantic,4,13472.74,Air,3.2
12,0,12,On Time,0,"New York, US",None,0.36,3.09,0,-1,Standard Shipping,1,2025-07-04 00:00:00,1148,ORD-B121073A,"Hamburg, DE",Auto Parts,High,3,3.51,Atlantic,13,780.64,Sea,7.8
13,0,12,On Time,0,"New York, US",None,0.87,3.5,0,-1,Standard Shipping,1,2025-07-10 00:00:00,4377,ORD-8F70643C,"Hamburg, DE",Textiles,Medium,2,2.597,Atlantic,14,4092.5,Sea,4.3
12,0,12,On Time,0,"New York, US",None,0.73,4.16,0,-1,Standard Shipping,1,2025-07-12 00:00:00,7549,ORD-0F77EEED,"Hamburg, DE",Auto Parts,Medium,2,2.351,Atlantic,13,6529.89,Sea,3.4
12,0,12,On Time,0,"New York, US",None,0.43,3.99,0,-2,Standard Shipping,1,2025-07-13 00:00:00,5836,ORD-EF07685E,"Hamburg, DE",Auto Parts,High,3,3.792,Atlantic,14,4172.74,Sea,8
12,0,12,On Time,0,"New York, US",None,0.7,3.85,0,-1,Standard Shipping,1,2025-07-22 00:00:00,6717,ORD-1F626841,"Hamburg, DE",Semiconductors,High,3,3.5,Atlantic,13,5709.45,Sea,6.9
12,0,12,On Time,0,"New York, US",None,0.17,2.19,0,-1,Standard Shipping,1,2025-07-24 00:00:00,2560,ORD-FCF7137B,"Hamburg, DE",Consumer Electronics,Low,1,0.62,Atlantic,13,1497.6,Sea,0.3
12,0,12,On Time,0,"New York, US",None,0.24,3.75,0,-1,Standard Shipping,1,2025-07-27 00:00:00,3605,ORD-3521BA69,"Hamburg, DE",Consumer Electronics,Medium,2,2.468,Atlantic,13,2235.1,Sea,4.6
11,0,12,On Time,0,"New York, US",None,0.55,2.41,0,-4,Standard Shipping,1,2025-07-28 00:00:00,4166,ORD-2595C617,"Hamburg, DE",Pharmaceuticals,Medium,2,2.97,Atlantic,15,3228.65,Sea,6.4
12,0,12,On Time,0,"New York, US",None,0.86,2.66,0,-3,Standard Shipping,1,2025-07-30 00:00:00,9431,ORD-F99F8507,"Hamburg, DE",Consumer Electronics,Medium,2,3.194,Atlantic,15,8770.83,Sea,6.5
12,0,12,On Time,0,"New York, US",None,0.72,1.16,0,-1,Standard Shipping,1,2025-07-31 00:00:00,4373,ORD-1DFB8D94,"Hamburg, DE",Textiles,High,3,3.426,Atlantic,13,3760.78,Sea,8.2
12,0,12,On Time,0,"New York, US",None,0.14,4.87,0,-2,Standard Shipping,1,2025-08-05 00:00:00,180,ORD-63FDC3EB,"Hamburg, DE",Raw Materials,Low,1,1.457,Atlantic,14,102.6,Sea,1.2
11,0,12,On Time,0,"New York, US",None,0.22,3.51,0,-2,Standard Shipping,1,2025-08-06 00:00:00,4599,ORD-184BDD29,"Hamburg, DE",Auto Parts,High,3,3.741,Atlantic,13,2805.39,Sea,8.4
13,0,12,On Time,0,"New York, US",None,0.38,2.61,0,-1,Standard Shipping,1,2025-08-07 00:00:00,8437,ORD-4E7AAEB8,"Hamburg, DE",Auto Parts,Medium,2,2.093,Atlantic,14,5821.53,Sea,4
12,0,12,On Time,0,"New York, US",None,0.37,3.18,0,-1,Standard Shipping,1,2025-08-11 00:00:00,229,ORD-D95F214F,"Hamburg, DE",Raw Materials,Medium,2,2.308,Atlantic,13,156.87,Sea,4.3
12,0,12,On Time,0,"New York, US",None,0.46,4.1,0,-1,Standard Shipping,1,2025-08-12 00:00:00,1508,ORD-CDA49DA1,"Hamburg, DE",Consumer Electronics,Medium,2,2.777,Atlantic,13,1100.84,Sea,5
11,0,12,On Time,0,"New York, US",None,0.71,2.59,0,-2,Standard Shipping,1,2025-08-13 00:00:00,8347,ORD-DD756AB7,"Hamburg, DE",Textiles,Low,1,1.398,Atlantic,13,7136.68,Sea,1.6
12,0,12,On Time,0,"New York, US",None,0.32,5.02,0,-1,Standard Shipping,1,2025-08-17 00:00:00,5353,ORD-8A1F4855,"Hamburg, DE",Auto Parts,Low,1,1.218,Atlantic,13,3532.98,Sea,0.2
12,0,12,On Time,0,"New York, US",None,0.32,2.51,0,-2,Standard Shipping,1,2025-08-19 00:00:00,2178,ORD-EB72672F,"Hamburg, DE",Textiles,Low,1,0.856,Atlantic,14,1437.48,Sea,0.6
2,0,2,On Time,0,"New York, US",None,0.71,3.21,0,-1,Standard Shipping,1,2025-08-20 00:00:00,3403,ORD-9B6BD7DB,"Hamburg, DE",Semiconductors,Low,1,1.557,Atlantic,3,32005.22,Air,1.7
2,0,2,On Time,0,"New York, US",None,0.49,4.49,0,-2,Standard Shipping,1,2025-08-23 00:00:00,8506,ORD-04DB02BE,"Hamburg, DE",Pharmaceuticals,Low,1,1.994,Atlantic,4,69706.67,Air,2.5
12,0,12,On Time,0,"New York, US",None,0.42,3.44,0,-3,Standard Shipping,1,2025-08-23 00:00:00,9935,ORD-EAB9BCE7,"Hamburg, DE",Consumer Electronics,Low,1,1.752,Atlantic,15,7053.85,Sea,2.5
1,0,2,On Time,0,"New York, US",None,0.23,4.5,0,-4,Standard Shipping,1,2025-08-28 00:00:00,706,ORD-07C3F75B,"Hamburg, DE",Semiconductors,High,3,3.664,Atlantic,5,4776.09,Air,7.6
11,0,12,On Time,0,"New York, US",None,0.37,3.52,0,-2,Standard Shipping,1,2025-08-29 00:00:00,7228,ORD-EA58A367,"Hamburg, DE",Raw Materials,Low,1,1.746,Atlantic,13,4951.18,Sea,2.5
12,0,12,On Time,0,"New York, US",None,0.42,2.39,0,-1,Standard Shipping,1,2025-09-03 00:00:00,4925,ORD-54AF7E6E,"Hamburg, DE",Textiles,Low,1,1.612,Atlantic,13,3496.75,Sea,2.7
2,0,2,On Time,0,"New York, US",None,0.73,2.32,0,-2,Standard Shipping,1,2025-09-07 00:00:00,5075,ORD-DE55CCE8,"Hamburg, DE",Semiconductors,High,3,4.013,Atlantic,4,48288.62,Air,9.2
12,0,12,On Time,0,"New York, US",None,0.77,3.18,0,-1,Standard Shipping,1,2025-09-11 00:00:00,1753,ORD-1E529034,"Hamburg, DE",Consumer Electronics,Low,1,1.718,Atlantic,13,1551.4,Sea,2.1
13,0,12,On Time,0,"New York, US",None,0.5,4.52,0,-1,Standard Shipping,1,2025-09-15 00:00:00,874,ORD-BA76B62A,"Hamburg, DE",Auto Parts,Low,1,1.199,Atlantic,14,655.5,Sea,0.2
12,0,12,On Time,0,"New York, US",None,0.55,4.89,0,-2,Standard Shipping,1,2025-09-16 00:00:00,4097,ORD-A74272C2,"Hamburg, DE",Consumer Electronics,Medium,2,2.556,Atlantic,14,3175.18,Sea,3.8
2,0,2,On Time,0,"New York, US",None,0.9,3.72,0,-2,Standard Shipping,1,2025-09-17 00:00:00,4690,ORD-660FC175,"Hamburg, DE",Semiconductors,Medium,2,2.584,Atlantic,4,49010.5,Air,4.1
13,0,12,On Time,0,"New York, US",None,0.83,2.78,0,-2,Standard Shipping,1,2025-09-17 00:00:00,1446,ORD-C816E335,"Hamburg, DE",Auto Parts,Low,1,1.21,Atlantic,15,1323.09,Sea,0.8
11,0,12,On Time,0,"New York, US",None,0.85,4.98,0,-4,Standard Shipping,1,2025-09-21 00:00:00,4754,ORD-5D9DE082,"Hamburg, DE",Auto Parts,High,3,4.144,Atlantic,15,4397.45,Sea,7.9
2,0,2,On Time,0,"New York, US",None,0.88,1.88,0,-2,Standard Shipping,1,2025-09-22 00:00:00,8438,ORD-E4A0121B,"Hamburg, DE",Pharmaceuticals,High,3,4.237,Atlantic,4,87248.92,Air,9.9
2,0,2,On Time,0,"New York, US",None,0.32,0.47,0,-1,Standard Shipping,1,2025-09-25 00:00:00,7977,ORD-147AFA16,"Hamburg, DE",Pharmaceuticals,Low,1,1.883,Atlantic,3,57913.02,Air,4.7
11,0,12,On Time,0,"New York, US",None,0.35,3.53,0,-2,Standard Shipping,1,2025-09-27 00:00:00,5479,ORD-972D62E1,"Hamburg, DE",Textiles,High,3,3.664,Atlantic,13,3698.33,Sea,8
12,0,12,On Time,0,"New York, US",None,0.56,3.33,0,-3,Standard Shipping,1,2025-09-28 00:00:00,8785,ORD-FCC564E6,"Hamburg, DE",Auto Parts,High,3,4.103,Atlantic,15,6852.3,Sea,9.1
12,0,12,On Time,0,"New York, US",None,0.38,2.75,0,-3,Standard Shipping,1,2025-09-29 00:00:00,545,ORD-05E3E5EE,"Hamburg, DE",Pharmaceuticals,Low,1,1.281,Atlantic,15,376.05,Sea,1.6
12,0,12,On Time,0,"New York, US",None,0.3,3.36,0,-1,Standard Shipping,1,2025-09-29 00:00:00,1868,ORD-55402E44,"Hamburg, DE",Raw Materials,Low,1,1.367,Atlantic,13,1214.2,Sea,1.6
11,0,12,On Time,0,"New York, US",None,0.34,3.75,0,-2,Standard Shipping,1,2025-09-30 00:00:00,2398,ORD-579C48A4,"Hamburg, DE",Auto Parts,High,3,3.913,Atlantic,13,1606.66,Sea,8.6
12,0,12,On Time,0,"New York, US",None,0.44,2.39,0,-2,Standard Shipping,1,2025-10-04 00:00:00,5487,ORD-E43B0F62,"Hamburg, DE",Textiles,Medium,2,2.741,Atlantic,14,3950.64,Sea,5.9
12,0,12,On Time,0,"New York, US",None,0.35,4.1,0,-1,Standard Shipping,1,2025-10-06 00:00:00,7903,ORD-D9B77C5D,"Hamburg, DE",Perishable Foods,Low,1,1.713,Atlantic,13,5334.53,Sea,2.1
12,0,12,On Time,0,"New York, US",None,0.61,2.57,0,-2,Standard Shipping,1,2025-10-10 00:00:00,9426,ORD-1F14AF13,"Hamburg, DE",Auto Parts,High,3,4.149,Atlantic,14,7587.93,Sea,9.6
11,0,12,On Time,0,"New York, US",None,0.66,2.45,0,-3,Standard Shipping,1,2025-10-10 00:00:00,6143,ORD-6FDFAA71,"Hamburg, DE",Raw Materials,Low,1,1.522,Atlantic,14,5098.69,Sea,2.1
12,0,12,On Time,0,"New York, US",None,0.89,3.1,0,-2,Standard Shipping,1,2025-10-10 00:00:00,8063,ORD-AD70AB33,"Hamburg, DE",Perishable Foods,High,3,4.346,Atlantic,14,7619.54,Sea,9.5
13,0,12,On Time,0,"New York, US",None,0.29,6.59,0,-2,Standard Shipping,1,2025-10-11 00:00:00,2302,ORD-A95E8985,"Hamburg, DE",Perishable Foods,Medium,2,2.604,Atlantic,15,1484.79,Sea,3.3
